cif,formula,sgnum,sitios,atoms,elements,target,prediction
1000022,CaTiO3,62,4,20.0,3.0,1,1
1000097,CdNF3,62,4,20.0,3.0,1,3
1000179,Na0.22Fe2F6,167,3,24.66,3.0,1,1
1000293,PrNiO3,167,3,30.0,3.0,1,1
1000303,NdNiO3,62,4,20.0,3.0,1,1
1000304,SmNiO3,62,4,20.0,3.0,1,1
1000307,LaNiO3,167,3,30.0,3.0,1,1
1001054,Ba1Ta0.5Co0.5O3,221,3,5.0,4.0,1,1
1001124,Y0.24Ta0.72W0.28O3,221,3,4.24,4.0,1,1
1001128,Ba2UMnO6,225,4,40.0,4.0,1,1
1001184,Ca0.5Ta1O3,221,3,4.5,3.0,1,1
1001185,Ta1Sn0.25O3,221,3,4.25,3.0,1,1
1001186,Ca0.91Ta0.84O3,221,3,4.75,3.0,1,1
1001399,Sr2FeRuO6,15,4,20.0,4.0,1,1
1001401,BaLaNiRuO6,15,4,20.0,5.0,1,1
1001469,Ba2CePtO6,225,4,40.0,4.0,1,1
1001665,Nd4Cu4O11.724,62,4,19.724,3.0,1,1
1001704,Sr0.4Ca0.8Pr2.8Mn4O12,62,4,20.0,5.0,1,1
1001734,Sr1.2Nd2.8Mn4O12,62,4,20.0,4.0,1,1
1001735,Sr0.32Ca0.88Nd2.8Mn4O12,62,4,20.0,5.0,1,1
1001736,Ca1.2Nd2.8Mn4O12,62,4,20.0,4.0,1,1
1001775,TaSnO3,221,3,5.0,3.0,1,1
1004099,K0.13Ba0.87Bi1O3,221,3,5.0,4.0,1,1
1005008,Ca3AsN,62,4,20.0,3.0,1,1
1006097,La4Ti2.016Cu1.984O12,62,4,20.0,4.0,1,1
1006117,La4Ti2.08Cu1.92O12,62,4,20.0,4.0,1,1
1006128,Sr0.5La3.5Mn4O12,62,4,20.0,4.0,1,1
1006141,LaMnO3,62,4,20.0,3.0,1,1
1008110,Mn3GaC,221,3,5.0,3.0,1,1
1008159,ErCrO3,62,4,20.0,3.0,1,1
1008160,NdCrO3,62,4,20.0,3.0,1,1
1008180,CaTi4(CuO4)3,204,4,40.0,4.0,1,1
1008219,YMn4(CuO4)3,204,4,40.0,4.0,1,1
1008633,NdCu3(RuO3)4,204,4,40.0,4.0,1,1
1008644,LaVO3,62,4,20.0,3.0,1,1
1008788,NdTi3Fe(CuO4)3,204,4,40.0,5.0,1,1
1008816,K2.24Sr1.76Bi4O12,140,4,20.0,4.0,1,1
1009040,Mn3IrN,221,3,5.0,3.0,1,1
