cif,formula,sgnum,sitios,atoms,elements,target,prediction
1000022,CaTiO3,62,4,20.0,3.0,1,1
1000097,CdNF3,62,4,20.0,3.0,1,3
1000179,Na0.22Fe2F6,167,3,24.66,3.0,1,1
1000290,PrNiO3,62,4,20.0,3.0,1,1
1000293,PrNiO3,167,3,30.0,3.0,1,1
1000303,NdNiO3,62,4,20.0,3.0,1,1
1000307,LaNiO3,167,3,30.0,3.0,1,1
1001054,Ba1Ta0.5Co0.5O3,221,3,5.0,4.0,1,1
1001094,Ba2UFeO6,225,4,40.0,4.0,1,1
1001124,Y0.24Ta0.72W0.28O3,221,3,4.24,4.0,1,1
1001128,Ba2UMnO6,225,4,40.0,4.0,1,1
1001132,Ba2MgUO6,225,4,40.0,4.0,1,1
1001185,Ta1Sn0.25O3,221,3,4.25,3.0,1,1
1001186,Ca0.91Ta0.84O3,221,3,4.75,3.0,1,3
1001397,BaLaZnRuO6,15,4,20.0,5.0,1,1
1001399,Sr2FeRuO6,15,4,20.0,4.0,1,1
1001402,BaLaNiRuO6,2,6,10.0,5.0,1,1
1001460,Ba10.6668Bi5.3332O22.68,225,4,38.68,3.0,1,1
1001472,Sr2ErRuO6,14,6,20.0,4.0,1,1
1001474,Ca2NdRuO6,14,6,20.0,4.0,1,1
1001476,Ca2HoRuO6,14,6,20.0,4.0,1,1
1001665,Nd4Cu4O11.724,62,4,19.724,3.0,1,1
1001704,Sr0.4Ca0.8Pr2.8Mn4O12,62,4,20.0,5.0,1,1
1001734,Sr1.2Nd2.8Mn4O12,62,4,20.0,4.0,1,1
1001736,Ca1.2Nd2.8Mn4O12,62,4,20.0,4.0,1,1
1001775,TaSnO3,221,3,5.0,3.0,1,1
1001820,La3.65Mn4O12,15,4,19.648,3.0,1,1
1001823,La2MgPtO6,14,6,20.004,4.0,1,1
1001824,La2NiPtO6,14,6,20.0,4.0,1,1
1001825,La2ZnPtO6,14,6,20.0,4.0,1,1
1001826,La2CoPtO6,14,6,20.0,4.0,1,1
1001827,Pr2CoPtO6,14,6,20.0,4.0,1,1
1001828,Nd2CoPtO6,14,6,20.0,4.0,1,1
1005008,Ca3AsN,62,4,20.0,3.0,1,1
1006046,LiLa2SbO6,14,6,20.0,4.0,1,1
1006117,La4Ti2.08Cu1.92O12,62,4,20.0,4.0,1,1
1006128,Sr0.5La3.5Mn4O12,62,4,20.0,4.0,1,1
1006141,LaMnO3,62,4,20.0,3.0,1,1
